iter	Passed	Remaining
427	1797	6600
428	1803	6602
429	1806	6596
430	1809	6586
431	1812	6577
432	1818	6581
433	1821	6573
434	1823	6562
435	1832	6574
436	1840	6581
437	1843	6574
438	1851	6582
439	1858	6589
440	1865	6594
441	1869	6591
442	1873	6583
443	1877	6579
444	1884	6584
445	1894	6601
446	1900	6602
447	1904	6598
448	1915	6617
449	1925	6633
450	1941	6668
451	1950	6680
452	1961	6700
453	1967	6701
454	1980	6723
455	1990	6738
456	1996	6741
457	2003	6746
458	2013	6761
459	2020	6762
460	2025	6762
461	2028	6754
462	2037	6762
463	2039	6752
464	2042	6742
465	2045	6732
466	2050	6732
467	2057	6734
468	2065	6742
469	2068	6732
470	2071	6725
471	2074	6714
472	2081	6719
473	2084	6709
474	2086	6699
475	2088	6688
476	2096	6693
477	2101	6690
478	2108	6694
479	2113	6692
480	2122	6703
481	2139	6738
482	2142	6727
483	2145	6719
484	2151	6720
485	2156	6717
486	2159	6707
487	2162	6699
488	2167	6695
489	2169	6687
490	2178	6694
491	2181	6685
492	2191	6698
493	2198	6702
494	2202	6697
495	2210	6704
496	2231	6747
497	2235	6742
498	2242	6745
499	2247	6742
500	2250	6733
501	2252	6720
502	2254	6709
503	2265	6723
504	2266	6710
505	2273	6713
506	2281	6717
507	2283	6707
508	2284	6692
509	2289	6688
510	2293	6682
511	2296	6673
512	2301	6670
513	2308	6674
514	2312	6668
515	2316	6662
516	2326	6674
517	2333	6677
518	2336	6668
519	2347	6682
520	2350	6671
521	2354	6666
522	2363	6675
523	2364	6660
524	2365	6646
525	2369	6639
526	2375	6638
527	2377	6628
528	2383	6627
529	2392	6634
530	2395	6627
531	2396	6613
532	2397	6598
533	2399	6588
534	2401	6575
535	2403	6566
536	2413	6576
537	2414	6562
538	2416	6548
539	2420	6544
540	2423	6536
541	2427	6530
542	2431	6524
543	2432	6510
544	2439	6511
545	2440	6498
546	2441	6486
547	2448	6486
548	2449	6474
549	2451	6464
550	2453	6451
551	2455	6440
552	2456	6427
553	2460	6423
554	2462	6410
555	2463	6396
556	2465	6386
557	2467	6376
558	2469	6366
559	2470	6352
560	2472	6342
561	2473	6328
562	2475	6318
563	2476	6306
564	2478	6294
565	2479	6281
566	2483	6275
567	2485	6266
568	2487	6255
569	2489	6245
570	2492	6238
571	2494	6226
572	2497	6219
573	2498	6206
574	2499	6194
575	2502	6186
576	2504	6176
577	2505	6164
578	2508	6155
579	2510	6145
580	2511	6134
581	2512	6122
582	2516	6116
583	2517	6105
584	2520	6096
585	2521	6084
586	2524	6076
587	2526	6067
588	2533	6070
589	2535	6059
590	2539	6055
591	2542	6047
592	2548	6047
593	2550	6038
594	2552	6028
595	2554	6018
596	2556	6008
597	2559	5999
598	2564	5997
599	2566	5988
600	2568	5979
601	2570	5969
602	2572	5959
603	2573	5948
604	2577	5943
605	2582	5939
606	2584	5930
607	2585	5919
608	2587	5910
609	2594	5913
610	2598	5907
611	2599	5895
612	2601	5886
613	2608	5887
614	2610	5878
615	2611	5867
616	2613	5857
617	2615	5847
618	2615	5835
619	2618	5828
620	2620	5818
621	2623	5811
622	2626	5804
623	2628	5795
624	2630	5786
625	2631	5775
626	2633	5766
627	2637	5762
628	2639	5753
629	2641	5744
630	2643	5735
631	2645	5725
632	2648	5718
633	2650	5710
634	2652	5701
635	2654	5692
636	2655	5681
637	2656	5671
638	2658	5662
639	2660	5653
640	2665	5651
641	2666	5641
642	2669	5632
643	2673	5628
644	2674	5617
645	2675	5608
646	2682	5609
647	2684	5600
648	2687	5594
649	2691	5590
650	2697	5589
651	2699	5580
652	2700	5569
653	2701	5560
654	2703	5551
655	2706	5544
656	2709	5539
657	2711	5529
658	2714	5524
659	2719	5521
660	2725	5520
661	2726	5510
662	2731	5507
663	2733	5499
664	2735	5490
665	2736	5481
666	2737	5470
667	2741	5465
668	2743	5458
669	2744	5448
670	2746	5440
671	2747	5429
672	2748	5418
673	2748	5407
674	2750	5399
675	2752	5390
676	2757	5388
677	2759	5381
678	2762	5374
679	2764	5365
680	2765	5356
681	2766	5346
682	2769	5339
683	2771	5332
684	2773	5325
685	2775	5317
686	2777	5308
687	2778	5299
688	2780	5290
689	2781	5280
690	2783	5273
691	2786	5266
692	2787	5257
693	2788	5246
694	2791	5241
695	2793	5233
696	2795	5225
697	2805	5232
698	2808	5226
699	2810	5220
700	2818	5223
701	2820	5215
702	2821	5205
703	2823	5197
704	2826	5192
705	2828	5185
706	2831	5179
707	2837	5178
708	2839	5170
709	2846	5171
710	2848	5163
711	2849	5154
712	2851	5146
713	2852	5136
714	2854	5129
715	2855	5120
716	2858	5114
717	2861	5108
718	2862	5099
719	2863	5090
720	2867	5087
721	2870	5080
722	2872	5072
723	2880	5076
724	2881	5067
725	2883	5060
726	2884	5051
727	2887	5045
728	2891	5040
729	2893	5034
730	2899	5033
731	2911	5043
732	2913	5035
733	2915	5028
734	2918	5023
735	2924	5021
736	2926	5015
737	2930	5011
738	2933	5006
739	2937	5001
740	2938	4993
741	2940	4984
